Preprocessed_Sloka,Tokenss
भावमिच्छति सर्वस्य नाभावे कुरुते मनः। सत्यवादी मृदृर्दान्तो यः स उत्तमपूरुषः ॥,"['भावमिच्छति', 'सर्वस्य', 'नाभावे', 'कुरुते', 'मनः।', 'सत्यवादी', 'मृदृर्दान्तो', 'यः', 'स', 'उत्तमपूरुषः', '॥']"
सुखार्थी चेत् त्यजेद्विद्यां त्यजेद्विद्यां विद्यार्थी चेत् त्यजेत्सुखम्। सुखार्थिनः कुतो विद्या कुतो विद्यार्थिनः सुखम्॥,"['सुखार्थी', 'चेत्', 'त्यजेद्विद्यां', 'त्यजेद्विद्यां', 'विद्यार्थी', 'चेत्', 'त्यजेत्सुखम्।', 'सुखार्थिनः', 'कुतो', 'विद्या', 'कुतो', 'विद्यार्थिनः', 'सुखम्॥']"
सत्यं माता पिता ज्ञानं धर्मो भ्राता दया सखा। शान्तिः पत्नी क्षमा पुत्रः षडेते मम बान्धवाः॥,"['सत्यं', 'माता', 'पिता', 'ज्ञानं', 'धर्मो', 'भ्राता', 'दया', 'सखा।', 'शान्तिः', 'पत्नी', 'क्षमा', 'पुत्रः', 'षडेते', 'मम', 'बान्धवाः॥']"
सुखदुर्लभं हि सदा सुखम् ॥,"['सुखदुर्लभं', 'हि', 'सदा', 'सुखम्', '॥']"
दुराचारी च दुर्दृष्टिर्दुराऽऽवासी च दुर्जनः। यन्मैत्री क्रियते पुम्भिर्नरः शीघ्र विनश्यति ॥,"['दुराचारी', 'च', 'दुर्दृष्टिर्दुराऽऽवासी', 'च', 'दुर्जनः।', 'यन्मैत्री', 'क्रियते', 'पुम्भिर्नरः', 'शीघ्र', 'विनश्यति', '॥']"
को लोकमाराधयितुं समर्थः ॥,"['को', 'लोकमाराधयितुं', 'समर्थः', '॥']"
अनागत विधाता च प्रत्युत्पन्नगतिस्तथा। द्वावातौ सुखमेवेते यद्भविष्यो विनश्यति॥,"['अनागत', 'विधाता', 'च', 'प्रत्युत्पन्नगतिस्तथा।', 'द्वावातौ', 'सुखमेवेते', 'यद्भविष्यो', 'विनश्यति॥']"
दुष्टा भार्या शठं मित्रं भृत्यश्चोत्तरदायकः। ससर्पे गृहे वासो मृत्युरेव न संशयः॥,"['दुष्टा', 'भार्या', 'शठं', 'मित्रं', 'भृत्यश्चोत्तरदायकः।', 'ससर्पे', 'गृहे', 'वासो', 'मृत्युरेव', 'न', 'संशयः॥']"
विद्या योगेन रक्ष्यते ॥,"['विद्या', 'योगेन', 'रक्ष्यते', '॥']"
वित्तेन रक्ष्यते धर्मो विद्या योगेन रक्ष्यते। मृदुना रक्ष्यते भूपः सत्स्त्रिया रक्ष्यते गृहम्॥,"['वित्तेन', 'रक्ष्यते', 'धर्मो', 'विद्या', 'योगेन', 'रक्ष्यते।', 'मृदुना', 'रक्ष्यते', 'भूपः', 'सत्स्त्रिया', 'रक्ष्यते', 'गृहम्॥']"
सुश्रान्तोऽपि वहेद् भारं शीतोष्णं न पश्यति। सन्तुष्टश्चरतो नित्यं त्रीणि शिक्षेच्च गर्दभात्॥,"['सुश्रान्तोऽपि', 'वहेद्', 'भारं', 'शीतोष्णं', 'न', 'पश्यति।', 'सन्तुष्टश्चरतो', 'नित्यं', 'त्रीणि', 'शिक्षेच्च', 'गर्दभात्॥']"
अनवस्थितकायस्य न जने न वने सुखम्। जनो दहति संसर्गाद् वनं सगविवर्जनात॥,"['अनवस्थितकायस्य', 'न', 'जने', 'न', 'वने', 'सुखम्।', 'जनो', 'दहति', 'संसर्गाद्', 'वनं', 'सगविवर्जनात॥']"
अनर्थंमर्थंतः पश्यत्रर्थं चैवाप्यनर्थतः। इन्द्रियैरजितैर्बालः सुदुःखं मन्यते सुखम् ॥,"['अनर्थंमर्थंतः', 'पश्यत्रर्थं', 'चैवाप्यनर्थतः।', 'इन्द्रियैरजितैर्बालः', 'सुदुःखं', 'मन्यते', 'सुखम्', '॥']"
कृतज्ञः सर्वलोकेषु पूज्यो भवति सर्वदा ॥,"['कृतज्ञः', 'सर्वलोकेषु', 'पूज्यो', 'भवति', 'सर्वदा', '॥']"
दीयमानं हि नापैति भूय एवाभिवर्तते ॥,"['दीयमानं', 'हि', 'नापैति', 'भूय', 'एवाभिवर्तते', '॥']"
द्वे कर्मणी नरः कुर्वन्नस्मिंल्लोके विरोचते। अब्रुवं परुषं कश्चित् असतोऽनर्चयंस्तथा ॥,"['द्वे', 'कर्मणी', 'नरः', 'कुर्वन्नस्मिंल्लोके', 'विरोचते।', 'अब्रुवं', 'परुषं', 'कश्चित्', 'असतोऽनर्चयंस्तथा', '॥']"
आत्मनाऽऽत्मानमन्विच्छेन्मनोबुद्धीन्द्रियैर्यतैः। आत्मा ह्वोवात्मनो बन्धुरात्मैव रिपुरात्मनः ॥,"['आत्मनाऽऽत्मानमन्विच्छेन्मनोबुद्धीन्द्रियैर्यतैः।', 'आत्मा', 'ह्वोवात्मनो', 'बन्धुरात्मैव', 'रिपुरात्मनः', '॥']"
वरं वनं व्याघ्रगजेन्द्रसेवितं द्रुमालयः पत्रफलाम्बु सेवनम्। तृणेशु शय्या शतजीर्णवल्कलं न बन्धुमध्ये धनहीनजीवनम्॥,"['वरं', 'वनं', 'व्याघ्रगजेन्द्रसेवितं', 'द्रुमालयः', 'पत्रफलाम्बु', 'सेवनम्।', 'तृणेशु', 'शय्या', 'शतजीर्णवल्कलं', 'न', 'बन्धुमध्ये', 'धनहीनजीवनम्॥']"
दातृत्वं प्रियवक्तृत्वं धीरत्वमुचितज्ञता। अभ्यासेन न लभ्यन्ते चत्वारः सहजा गुणाः॥,"['दातृत्वं', 'प्रियवक्तृत्वं', 'धीरत्वमुचितज्ञता।', 'अभ्यासेन', 'न', 'लभ्यन्ते', 'चत्वारः', 'सहजा', 'गुणाः॥']"
दुःसाध्यमपि सुसाध्यं करोत्युपायज्ञः ॥,"['दुःसाध्यमपि', 'सुसाध्यं', 'करोत्युपायज्ञः', '॥']"
सामुद्रिकं वणिजं चोरपूर्व शलाकधूर्त्त च चिकित्सकं च। अरिं च मित्रं च कुशीलवं च नैतान्साक्ष्ये त्वधिकुर्वीतसप्त॥,"['सामुद्रिकं', 'वणिजं', 'चोरपूर्व', 'शलाकधूर्त्त', 'च', 'चिकित्सकं', 'च।', 'अरिं', 'च', 'मित्रं', 'च', 'कुशीलवं', 'च', 'नैतान्साक्ष्ये', 'त्वधिकुर्वीतसप्त॥']"
यत्नवान् सुखमेधते ॥,"['यत्नवान्', 'सुखमेधते', '॥']"
जानीयात्प्रेषणेभृत्यान् बान्धवान्व्यसनाऽऽगमे। मित्रं याऽऽपत्तिकालेषु भार्यां च विभवक्षये ॥,"['जानीयात्प्रेषणेभृत्यान्', 'बान्धवान्व्यसनाऽऽगमे।', 'मित्रं', 'याऽऽपत्तिकालेषु', 'भार्यां', 'च', 'विभवक्षये', '॥']"
विद्यया लभते ज्ञानम् ॥,"['विद्यया', 'लभते', 'ज्ञानम्', '॥']"
अन्यायोपार्जितं वित्तं दशवर्षाणि तिष्ठति । प्राप्ते चैकादशे वर्षे समूलं तद् विनश्यति॥,"['अन्यायोपार्जितं', 'वित्तं', 'दशवर्षाणि', 'तिष्ठति', '।', 'प्राप्ते', 'चैकादशे', 'वर्षे', 'समूलं', 'तद्', 'विनश्यति॥']"
न वैरमुद्दीपयति प्रशान्तं न दर्पमारोहति नास्तमेति । न दुर्गतोऽस्मीति करोत्यकार्यं तमार्यशीलं परमाहुरार्याः ॥,"['न', 'वैरमुद्दीपयति', 'प्रशान्तं', 'न', 'दर्पमारोहति', 'नास्तमेति', '।', 'न', 'दुर्गतोऽस्मीति', 'करोत्यकार्यं', 'तमार्यशीलं', 'परमाहुरार्याः', '॥']"
धर्मार्थकाममोश्रेषु यस्यैकोऽपि न विद्यते। जन्म जन्मानि मर्त्येषु मरणं तस्य केवलम्॥,"['धर्मार्थकाममोश्रेषु', 'यस्यैकोऽपि', 'न', 'विद्यते।', 'जन्म', 'जन्मानि', 'मर्त्येषु', 'मरणं', 'तस्य', 'केवलम्॥']"
आयुः कर्म वित्तञ्च विद्या निधनमेव च। पञ्चैतानि हि सृज्यन्ते गर्भस्थस्यैव देहिनः॥,"['आयुः', 'कर्म', 'वित्तञ्च', 'विद्या', 'निधनमेव', 'च।', 'पञ्चैतानि', 'हि', 'सृज्यन्ते', 'गर्भस्थस्यैव', 'देहिनः॥']"
सुव्याहृतानि सुक्तानि सुकृतानि ततस्ततः। सञ्चिन्वन् धीर आसीत् शिलाहरी शिलं यथा ॥,"['सुव्याहृतानि', 'सुक्तानि', 'सुकृतानि', 'ततस्ततः।', 'सञ्चिन्वन्', 'धीर', 'आसीत्', 'शिलाहरी', 'शिलं', 'यथा', '॥']"
गृहीतेवाक्यो नयविद् वदान्यः शेषात्रभोक्ता ह्यविहिंसकश्च। नानार्थकृत्याकुलितः कृतज्ञः सत्यो मृदुः स्वर्गमुपैति विद्वान् ॥,"['गृहीतेवाक्यो', 'नयविद्', 'वदान्यः', 'शेषात्रभोक्ता', 'ह्यविहिंसकश्च।', 'नानार्थकृत्याकुलितः', 'कृतज्ञः', 'सत्यो', 'मृदुः', 'स्वर्गमुपैति', 'विद्वान्', '॥']"
अर्चयेदेव मित्राणि सति वाऽसति वा धने। नानर्थयन् प्रजानति मित्राणं सारफल्गुताम् ॥,"['अर्चयेदेव', 'मित्राणि', 'सति', 'वाऽसति', 'वा', 'धने।', 'नानर्थयन्', 'प्रजानति', 'मित्राणं', 'सारफल्गुताम्', '॥']"
यथाशक्ति चिकीर्षन्ति यथाशक्ति च कुर्वते। न किञ्चिदवमन्यन्ते नराः पण्डितबुद्धयः ॥,"['यथाशक्ति', 'चिकीर्षन्ति', 'यथाशक्ति', 'च', 'कुर्वते।', 'न', 'किञ्चिदवमन्यन्ते', 'नराः', 'पण्डितबुद्धयः', '॥']"
सुदुर्बलं नावजानाति कञ्चित् युक्तो रिपुं सेवते बुद्धिपूर्वम् । न विग्रहं रोचयते बलस्थैः काले च यो विक्रमते स धीरः ॥,"['सुदुर्बलं', 'नावजानाति', 'कञ्चित्', 'युक्तो', 'रिपुं', 'सेवते', 'बुद्धिपूर्वम्', '।', 'न', 'विग्रहं', 'रोचयते', 'बलस्थैः', 'काले', 'च', 'यो', 'विक्रमते', 'स', 'धीरः', '॥']"
वृद्धसेवया विज्ञानत् ॥,"['वृद्धसेवया', 'विज्ञानत्', '॥']"
पितृदोषेण मूर्खता ॥,"['पितृदोषेण', 'मूर्खता', '॥']"
विद्या मित्रं प्रवासेषु भार्या मित्रं गृहेषु च। व्याधितस्यौषधं मित्रं धर्मो मित्रं मृतस्य च॥,"['विद्या', 'मित्रं', 'प्रवासेषु', 'भार्या', 'मित्रं', 'गृहेषु', 'च।', 'व्याधितस्यौषधं', 'मित्रं', 'धर्मो', 'मित्रं', 'मृतस्य', 'च॥']"
सक्ष्मात् सर्वेषों कार्यसिद्धिभर्वति ॥,"['सक्ष्मात्', 'सर्वेषों', 'कार्यसिद्धिभर्वति', '॥']"
चिरनिरूपणीयो हि व्यक्तिस्वभावः ॥,"['चिरनिरूपणीयो', 'हि', 'व्यक्तिस्वभावः', '॥']"
दृष्टिपूतं न्यसेत् पादं वस्त्रपूतं जलं पिवेत्। शास्त्रपूतं वदेद् वाक्यं मनः पूतं समाचरेत्॥,"['दृष्टिपूतं', 'न्यसेत्', 'पादं', 'वस्त्रपूतं', 'जलं', 'पिवेत्।', 'शास्त्रपूतं', 'वदेद्', 'वाक्यं', 'मनः', 'पूतं', 'समाचरेत्॥']"
येषां न विद्या न तपो न दानं न चापि शीलं च गुणो न धर्मः। ते मर्त्यलोके भुवि भारभूता मनुष्यरुपेण मृगाश्चरन्ति॥,"['येषां', 'न', 'विद्या', 'न', 'तपो', 'न', 'दानं', 'न', 'चापि', 'शीलं', 'च', 'गुणो', 'न', 'धर्मः।', 'ते', 'मर्त्यलोके', 'भुवि', 'भारभूता', 'मनुष्यरुपेण', 'मृगाश्चरन्ति॥']"
अनाहूत प्रविशति अपृष्टो बहु भाषेते । अविश्चस्ते विश्चसिति मूढचेता नराधम ॥,"['अनाहूत', 'प्रविशति', 'अपृष्टो', 'बहु', 'भाषेते', '।', 'अविश्चस्ते', 'विश्चसिति', 'मूढचेता', 'नराधम', '॥']"
यः सर्वभूतप्रशमे निविष्टः सत्यो मृदुर्मानकृच्छुद्धभावः । अतीव स ज्ञायते ज्ञातिमध्ये महामणिर्जात्य इव प्रसन्नः ॥,"['यः', 'सर्वभूतप्रशमे', 'निविष्टः', 'सत्यो', 'मृदुर्मानकृच्छुद्धभावः', '।', 'अतीव', 'स', 'ज्ञायते', 'ज्ञातिमध्ये', 'महामणिर्जात्य', 'इव', 'प्रसन्नः', '॥']"
अर्थागमो नित्यमरोगिता च प्रिया च भार्य प्रियवादिनी च । वश्यश्च पुत्रोऽर्थकरी च विद्या षट् जीवलोकस्य सुखानि राजन् ॥,"['अर्थागमो', 'नित्यमरोगिता', 'च', 'प्रिया', 'च', 'भार्य', 'प्रियवादिनी', 'च', '।', 'वश्यश्च', 'पुत्रोऽर्थकरी', 'च', 'विद्या', 'षट्', 'जीवलोकस्य', 'सुखानि', 'राजन्', '॥']"
पादाभ्यां न स्पृशेदग्निं गुरुं ब्राह्मणमेव च। नैव गावं कुमारीं च न वृद्धं न शिशुं तथा॥,"['पादाभ्यां', 'न', 'स्पृशेदग्निं', 'गुरुं', 'ब्राह्मणमेव', 'च।', 'नैव', 'गावं', 'कुमारीं', 'च', 'न', 'वृद्धं', 'न', 'शिशुं', 'तथा॥']"
अत्यन्तलेपः कटुता च वाणी दरिद्रता च स्वजनेषु वैरम्। नीच प्रसङ्गः कुलहीनसेवा चिह्नानि देहे नरकस्थितानाम्॥,"['अत्यन्तलेपः', 'कटुता', 'च', 'वाणी', 'दरिद्रता', 'च', 'स्वजनेषु', 'वैरम्।', 'नीच', 'प्रसङ्गः', 'कुलहीनसेवा', 'चिह्नानि', 'देहे', 'नरकस्थितानाम्॥']"
सर्वथा सुकरं मित्रं दुष्करं प्रतिपालनम् ॥,"['सर्वथा', 'सुकरं', 'मित्रं', 'दुष्करं', 'प्रतिपालनम्', '॥']"
गुरुणामेव सर्वेषां माता गुरुतरा स्मृता ॥,"['गुरुणामेव', 'सर्वेषां', 'माता', 'गुरुतरा', 'स्मृता', '॥']"
शरीरमाद्यं खलु धर्मसाधनम् ॥,"['शरीरमाद्यं', 'खलु', 'धर्मसाधनम्', '॥']"
यस्मिन् यथा वर्तते यो मनुष्यस्तस्मिंस्तथा वर्तितव्यं स धर्मः। मायाचारो मायया वर्तितव्यः साध्वाचारः साधुना प्रत्युपेयः॥,"['यस्मिन्', 'यथा', 'वर्तते', 'यो', 'मनुष्यस्तस्मिंस्तथा', 'वर्तितव्यं', 'स', 'धर्मः।', 'मायाचारो', 'मायया', 'वर्तितव्यः', 'साध्वाचारः', 'साधुना', 'प्रत्युपेयः॥']"
भाग्यवन्तमपरीक्ष्यकारिणं श्रीः परित्यजति ॥,"['भाग्यवन्तमपरीक्ष्यकारिणं', 'श्रीः', 'परित्यजति', '॥']"
उत्साहवन्तः पुरुषाः नावसीदन्ति कर्मसु ॥,"['उत्साहवन्तः', 'पुरुषाः', 'नावसीदन्ति', 'कर्मसु', '॥']"
यथा धेनु सहस्रेषु वत्सो गच्छति मातरम्। तथा यच्च कृतं कर्म कर्तारमनुगच्छति॥,"['यथा', 'धेनु', 'सहस्रेषु', 'वत्सो', 'गच्छति', 'मातरम्।', 'तथा', 'यच्च', 'कृतं', 'कर्म', 'कर्तारमनुगच्छति॥']"
उपायेन जयो यदृग्रिपोस्तादृड्डं न हेतिभिः ॥,"['उपायेन', 'जयो', 'यदृग्रिपोस्तादृड्डं', 'न', 'हेतिभिः', '॥']"
उद्योगे नास्ति दारिद्रयं जपतो नास्ति पातकम्। मौनेन कलहो नास्ति जागृतस्य च न भयम्॥,"['उद्योगे', 'नास्ति', 'दारिद्रयं', 'जपतो', 'नास्ति', 'पातकम्।', 'मौनेन', 'कलहो', 'नास्ति', 'जागृतस्य', 'च', 'न', 'भयम्॥']"
दारिद्रयनाशनं दानं शीलं दुर्गतिनाशनम्। अज्ञानतानाशिनी प्रज्ञा भावना भयनाशिनी॥,"['दारिद्रयनाशनं', 'दानं', 'शीलं', 'दुर्गतिनाशनम्।', 'अज्ञानतानाशिनी', 'प्रज्ञा', 'भावना', 'भयनाशिनी॥']"
सहायास्तादृशा एव यादृशी भवितव्यता ॥,"['सहायास्तादृशा', 'एव', 'यादृशी', 'भवितव्यता', '॥']"
त्रिविधं नरकस्येदं द्वारम नाशनमात्मन । काम क्रोधस्तथा लोभस्तस्मादेतत्त्रयं त्यजेत् ॥,"['त्रिविधं', 'नरकस्येदं', 'द्वारम', 'नाशनमात्मन', '।', 'काम', 'क्रोधस्तथा', 'लोभस्तस्मादेतत्त्रयं', 'त्यजेत्', '॥']"
कः कालः कानि मित्राणि को देशः को व्ययागमोः। कस्याहं का च मे शक्तिरिति चिन्त्यं मुहुर्मुहुः॥,"['कः', 'कालः', 'कानि', 'मित्राणि', 'को', 'देशः', 'को', 'व्ययागमोः।', 'कस्याहं', 'का', 'च', 'मे', 'शक्तिरिति', 'चिन्त्यं', 'मुहुर्मुहुः॥']"
उत्पन्नपश्चात्तापस्य बुद्धिर्भवति यादृशी । तादृशी यदि पूर्वा स्यात्कस्य स्यान्न महोदयः ॥,"['उत्पन्नपश्चात्तापस्य', 'बुद्धिर्भवति', 'यादृशी', '।', 'तादृशी', 'यदि', 'पूर्वा', 'स्यात्कस्य', 'स्यान्न', 'महोदयः', '॥']"
हिंसाबबलमसाधूनां राज्ञा दण्डविधिर्बलम्। शुश्रुषा तु बलं स्त्रीणां क्षमा गुणवतां बलम्॥,"['हिंसाबबलमसाधूनां', 'राज्ञा', 'दण्डविधिर्बलम्।', 'शुश्रुषा', 'तु', 'बलं', 'स्त्रीणां', 'क्षमा', 'गुणवतां', 'बलम्॥']"
मूर्खस्तु परिहर्तव्यः प्रत्यक्षो द्विपदः पशुः। भिनत्ति वाक्यशूलेन अदृश्ययं कण्टकं यथा ॥,"['मूर्खस्तु', 'परिहर्तव्यः', 'प्रत्यक्षो', 'द्विपदः', 'पशुः।', 'भिनत्ति', 'वाक्यशूलेन', 'अदृश्ययं', 'कण्टकं', 'यथा', '॥']"
कर्मणा मनसा वाचा यदभीक्षणं निषेवते। तदेवापहरत्येनं तस्मात् कल्याणमाचरेत् ॥,"['कर्मणा', 'मनसा', 'वाचा', 'यदभीक्षणं', 'निषेवते।', 'तदेवापहरत्येनं', 'तस्मात्', 'कल्याणमाचरेत्', '॥']"
संस्कृतं भाषाणां जननी अस्ति ॥,"['संस्कृतं', 'भाषाणां', 'जननी', 'अस्ति', '॥']"
देशाचारान् समयाञ्चातिधर्मान् बुभूषते यः स परावरज्ञः । स यत्र तत्राभिगतः सदैव महाजनस्याधिपत्यं करोति ॥,"['देशाचारान्', 'समयाञ्चातिधर्मान्', 'बुभूषते', 'यः', 'स', 'परावरज्ञः', '।', 'स', 'यत्र', 'तत्राभिगतः', 'सदैव', 'महाजनस्याधिपत्यं', 'करोति', '॥']"
गृहेऽपि पज्चेन्द्रियनिग्रहः तपः ॥,"['गृहेऽपि', 'पज्चेन्द्रियनिग्रहः', 'तपः', '॥']"
अतिवादं न प्रवदेत्र वादयेद् यो नाहतः प्रतिहन्यात्र घातयेत्। हन्तुं च यो नेच्छति पातकं वै तस्मै देवाः स्पृहयन्त्यागताय ॥,"['अतिवादं', 'न', 'प्रवदेत्र', 'वादयेद्', 'यो', 'नाहतः', 'प्रतिहन्यात्र', 'घातयेत्।', 'हन्तुं', 'च', 'यो', 'नेच्छति', 'पातकं', 'वै', 'तस्मै', 'देवाः', 'स्पृहयन्त्यागताय', '॥']"
जानन्नपि नरो दैवात्प्रकरोति विगर्हितम् ॥,"['जानन्नपि', 'नरो', 'दैवात्प्रकरोति', 'विगर्हितम्', '॥']"
शकटं पञ्चहस्तेन दशहस्तेन वाजिनम्। हस्तिनं शतहस्तेन देशत्यागेन दुर्जनम्॥,"['शकटं', 'पञ्चहस्तेन', 'दशहस्तेन', 'वाजिनम्।', 'हस्तिनं', 'शतहस्तेन', 'देशत्यागेन', 'दुर्जनम्॥']"
छात्राणां धर्मः अध्ययनम् अस्ति ॥,"['छात्राणां', 'धर्मः', 'अध्ययनम्', 'अस्ति', '॥']"
क्रोधो हर्षश्च दर्पश्च ह्रीः स्तम्भो मान्यमानिता। यमर्थान् नापकर्षन्ति स वै पण्डित उच्यते ॥,"['क्रोधो', 'हर्षश्च', 'दर्पश्च', 'ह्रीः', 'स्तम्भो', 'मान्यमानिता।', 'यमर्थान्', 'नापकर्षन्ति', 'स', 'वै', 'पण्डित', 'उच्यते', '॥']"
मूर्खशिष्योपदेशेन दुष्टास्त्रीभरणेन च। दुःखितैः सम्प्रयोगेण पण्डितोऽप्यवसीदति॥,"['मूर्खशिष्योपदेशेन', 'दुष्टास्त्रीभरणेन', 'च।', 'दुःखितैः', 'सम्प्रयोगेण', 'पण्डितोऽप्यवसीदति॥']"
सुखं च दुःखं च भवाभवौ च लाभालाभौ मरणं जीवितं च। पर्यायशः सर्वमेते स्पृशन्ति तस्माद् धीरो न हृष्येत्र शोचेत् ॥,"['सुखं', 'च', 'दुःखं', 'च', 'भवाभवौ', 'च', 'लाभालाभौ', 'मरणं', 'जीवितं', 'च।', 'पर्यायशः', 'सर्वमेते', 'स्पृशन्ति', 'तस्माद्', 'धीरो', 'न', 'हृष्येत्र', 'शोचेत्', '॥']"
नात्यन्तं सरलेन भाव्यं गत्वा पश्य वनस्थलीम्। छिद्यन्ते सरलास्तत्र कुब्जास्तिष्ठन्ति पादपाः॥,"['नात्यन्तं', 'सरलेन', 'भाव्यं', 'गत्वा', 'पश्य', 'वनस्थलीम्।', 'छिद्यन्ते', 'सरलास्तत्र', 'कुब्जास्तिष्ठन्ति', 'पादपाः॥']"
ब्राह्मणं ब्राह्मणो वेद भर्ता वेद स्त्रियं तथा। अमात्यं नृपतिर्वेद राजा राजानमेव च॥,"['ब्राह्मणं', 'ब्राह्मणो', 'वेद', 'भर्ता', 'वेद', 'स्त्रियं', 'तथा।', 'अमात्यं', 'नृपतिर्वेद', 'राजा', 'राजानमेव', 'च॥']"
जले तैलं खले गुह्यं पात्रे दानं मनागपि । प्राज्ञे शास्त्रं स्वयं याति विस्तारे वस्तुशक्तितः॥,"['जले', 'तैलं', 'खले', 'गुह्यं', 'पात्रे', 'दानं', 'मनागपि', '।', 'प्राज्ञे', 'शास्त्रं', 'स्वयं', 'याति', 'विस्तारे', 'वस्तुशक्तितः॥']"
शोकः शौर्यपकर्षणः ॥,"['शोकः', 'शौर्यपकर्षणः', '॥']"
